# run_started_utc: 2026-08-19T17:39:25.245455+00:00
# run_started_local: 2026-08-19T23:09:25.245455+05:30
# run_ended_utc: 2026-08-19T17:41:28.987008+00:00
# simulated_duration_s: 586.1
# rows_written: 232
# git_commit: 7a1da34
# git_tree: clean
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-19T17:39:24.981286+00:00
# encryption_at_end: on
# encryption_toggled_during_run: yes
# attacks_fired: false_data_injection, sensor_spoofing
# demand_multiplier: 1
# density: 1x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag
10.0,08:00,North,1,1,0,0,10.0,0.0,0,2.2,0,,0
10.0,08:00,South,0,0,0,0,0,0.0,0,2.2,0,,0
10.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
10.0,08:00,West,1,1,0,0,0,0.0,0,2.2,0,,0
20.0,08:00,North,9,7,2,7,20.01,0.3498,0,2.2,0,,0
20.0,08:00,South,1,1,0,0,0,0.0,1,0.0,0,,0
20.0,08:00,East,2,2,0,0,0,0.0,2,0.038,0,,0
20.0,08:00,West,1,1,0,0,0,0.0,1,0.0,0,,0
30.0,08:00,North,12,10,2,11,20.01,0.5498,0,2.2,0,,0
30.0,08:00,South,5,3,2,0,0,0.0,2,0.57,0,,0
30.0,08:00,East,3,3,0,0,0,0.0,3,0.0,0,,0
30.0,08:00,West,1,1,0,0,0,0.0,2,0.004,0,,0
40.0,08:00,North,9,8,3,8,20.0,0.3999,0,2.2,0,,0
40.0,08:00,South,5,3,2,0,0,0.0,4,0.0,0,,0
40.0,08:00,East,1,1,0,0,0,0.0,3,0.0,0,,0
40.0,08:00,West,5,4,1,0,0,0.0,5,0.002,0,,0
50.0,08:00,North,12,9,5,6,16.01,0.3749,2,0.743,0,,0
50.0,08:00,South,2,2,2,1,1.0,1.0033,1,0.666,0,,0
50.0,08:00,East,1,1,0,0,0,0.0,3,0.1,0,,0
50.0,08:00,West,6,5,1,0,0,0.0,7,0.0,0,,0
60.0,08:01,North,10,8,5,2,6.0,0.3335,6,0.058,0,,0
60.0,08:01,South,2,2,2,6,11.01,0.545,0,2.2,0,,0
60.0,08:01,East,2,2,0,0,0,0.0,5,0.0,0,,0
60.0,08:01,West,4,3,2,0,0,0.0,8,0.001,0,,0
70.0,08:01,North,8,4,9,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
70.0,08:01,South,4,4,2,8,20.01,0.3999,0,2.2,1,"West arm, outgoing lane",0
70.0,08:01,East,2,2,0,0,0,0.0,6,0.0,1,"West arm, outgoing lane",0
70.0,08:01,West,2,1,2,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
80.0,08:01,North,7,1,11,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
80.0,08:01,South,5,5,2,3,12.02,0.2497,1,1.1,1,"West arm, outgoing lane",0
80.0,08:01,East,2,2,0,6,4.97,1.2064,0,1.585,1,"West arm, outgoing lane",0
80.0,08:01,West,0,0,2,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
90.0,08:01,North,5,0,14,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
90.0,08:01,South,3,3,2,0,2.01,0.0,3,0.0,1,"West arm, outgoing lane",0
90.0,08:01,East,2,2,0,8,14.98,0.534,0,2.2,1,"West arm, outgoing lane",0
90.0,08:01,West,0,0,2,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
100.0,08:01,North,9,0,20,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
100.0,08:01,South,1,1,2,0,0,0.0,3,0.0,1,"West arm, outgoing lane",0
100.0,08:01,East,3,3,0,2,18.02,0.111,1,1.172,1,"West arm, outgoing lane",0
100.0,08:01,West,0,0,2,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
110.0,08:01,North,12,0,26,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
110.0,08:01,South,2,2,2,0,0,0.0,5,0.016,1,"West arm, outgoing lane",0
110.0,08:01,East,2,2,0,0,8.02,0.0,2,0.0,1,"West arm, outgoing lane",0
110.0,08:01,West,0,0,2,8,8.98,0.8905,0,2.2,1,"West arm, outgoing lane",0
120.0,08:02,North,9,0,29,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
120.0,08:02,South,4,4,2,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
120.0,08:02,East,0,0,0,0,0,0.0,2,0.0,1,"West arm, outgoing lane",0
120.0,08:02,West,1,1,2,8,16.01,0.4998,1,0.172,1,"West arm, outgoing lane",0
130.0,08:02,North,7,3,30,8,9.97,0.8027,0,2.016,1,"West arm, outgoing lane",0
130.0,08:02,South,2,2,2,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
130.0,08:02,East,2,2,0,0,0,0.0,4,0.038,1,"West arm, outgoing lane",0
130.0,08:02,West,1,1,2,0,7.02,0.0,1,0.0,1,"West arm, outgoing lane",0
140.0,08:02,North,11,9,31,14,19.98,0.7008,0,1.372,1,"West arm, outgoing lane",0
140.0,08:02,South,2,0,4,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
140.0,08:02,East,3,3,0,0,0,0.0,5,0.0,1,"West arm, outgoing lane",0
140.0,08:02,West,0,0,2,0,0,0.0,1,0.0,1,"West arm, outgoing lane",0
150.0,08:02,North,19,12,37,11,20.01,0.5498,1,0.575,1,"West arm, outgoing lane",0
150.0,08:02,South,4,0,6,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
150.0,08:02,East,4,4,0,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
150.0,08:02,West,0,0,2,0,0,0.0,1,0.0,1,"West arm, outgoing lane",0
160.0,08:02,North,15,9,37,8,20.0,0.4,3,0.072,1,"West arm, outgoing lane",0
160.0,08:02,South,2,0,6,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
160.0,08:02,East,3,3,0,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
160.0,08:02,West,2,2,2,0,0,0.0,2,0.784,1,"West arm, outgoing lane",0
170.0,08:02,North,7,6,38,6,16.05,0.3739,1,1.467,1,"West arm, outgoing lane",0
170.0,08:02,South,3,0,8,1,0.95,1.0545,3,0.544,1,"West arm, outgoing lane",0
170.0,08:02,East,2,0,2,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
170.0,08:02,West,2,2,2,0,0,0.0,3,0.0,1,"West arm, outgoing lane",0
180.0,08:03,North,9,7,39,3,6.05,0.4963,6,0.081,1,"West arm, outgoing lane",0
