# run_started_utc: 2026-08-20T04:53:42.210541+00:00
# run_started_local: 2026-08-20T10:23:42.210541+05:30
# run_ended_utc: 2026-08-20T04:54:19.531741+00:00
# simulated_duration_s: 201.6
# rows_written: 80
# git_commit: 9520573
# git_tree: dirty
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-20T04:53:42.163821+00:00
# encryption_at_end: off
# encryption_toggled_during_run: yes
# attacks_fired: false_data_injection
# demand_multiplier: 1
# density: 1x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag
10.0,08:00,North,0,0,0,0,10.0,0.0,0,2.2,0,,0
10.0,08:00,South,0,0,0,0,0,0.0,0,2.2,0,,0
10.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
10.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
20.0,08:00,North,0,0,0,0,20.0,0.0,0,2.2,0,,0
20.0,08:00,South,0,0,0,0,0,0.0,0,2.2,0,,0
20.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
20.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
30.0,08:00,North,0,0,0,0,20.02,0.0,0,2.2,0,,0
30.0,08:00,South,0,0,0,0,0,0.0,0,2.2,0,,0
30.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
30.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
40.0,08:00,North,0,0,0,0,20.01,0.0,0,2.2,0,,0
40.0,08:00,South,0,0,0,0,0,0.0,0,2.2,0,,0
40.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
40.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
50.0,08:00,North,0,0,0,0,16.0,0.0,0,2.2,0,,0
50.0,08:00,South,0,0,0,0,1.01,0.0,0,2.2,0,,0
50.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
50.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
60.0,08:01,North,0,0,0,0,6.0,0.0,0,2.2,0,,0
60.0,08:01,South,0,0,0,0,11.01,0.0,0,2.2,0,,0
60.0,08:01,East,0,0,0,0,0,0.0,0,2.2,0,,0
60.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
70.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
70.0,08:01,South,0,0,0,0,20.01,0.0,0,2.2,0,,0
70.0,08:01,East,0,0,0,0,0,0.0,0,2.2,0,,0
70.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
80.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
80.0,08:01,South,0,0,0,0,12.02,0.0,0,2.2,0,,0
80.0,08:01,East,0,0,0,0,4.98,0.0,0,2.2,0,,0
80.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
90.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
90.0,08:01,South,0,0,0,0,2.03,0.0,0,2.2,0,,0
90.0,08:01,East,0,0,0,0,14.97,0.0,0,2.2,0,,0
90.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
100.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
100.0,08:01,South,0,0,0,0,0,0.0,0,2.2,0,,0
100.0,08:01,East,0,0,0,0,18.03,0.0,0,2.2,0,,0
100.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
110.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
110.0,08:01,South,0,0,0,0,0,0.0,0,2.2,0,,0
110.0,08:01,East,0,0,0,0,8.03,0.0,0,2.2,0,,0
110.0,08:01,West,0,0,0,0,8.97,0.0,0,2.2,0,,0
120.0,08:02,North,0,0,0,0,0,0.0,0,2.2,0,,0
120.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
120.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
120.0,08:02,West,0,0,0,0,16.01,0.0,0,2.2,0,,0
130.0,08:02,North,1,1,0,1,9.93,0.1007,0,2.2,0,,0
130.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
130.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
130.0,08:02,West,0,0,0,0,7.06,0.0,0,2.2,0,,0
140.0,08:02,North,1,1,0,1,19.94,0.0502,0,2.2,0,,0
140.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
140.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
140.0,08:02,West,0,0,0,0,0,0.0,0,2.2,0,,0
150.0,08:02,North,0,0,0,0,20.01,0.0,0,2.2,0,,0
150.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
150.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
150.0,08:02,West,0,0,0,0,0,0.0,0,2.2,0,,0
160.0,08:02,North,0,0,0,0,20.0,0.0,0,2.2,0,,0
160.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
160.0,08:02,East,1,1,0,0,0,0.0,1,0.0,0,,0
160.0,08:02,West,0,0,0,0,0,0.0,0,2.2,0,,0
170.0,08:02,North,0,0,0,0,16.08,0.0,0,2.2,0,,0
170.0,08:02,South,0,0,0,0,0.92,0.0,0,2.2,0,,0
170.0,08:02,East,1,1,0,0,0,0.0,1,0.0,0,,0
170.0,08:02,West,1,1,0,0,0,0.0,0,2.2,0,,0
180.0,08:03,North,0,0,0,0,6.08,0.0,0,2.2,0,,0
180.0,08:03,South,0,0,0,0,10.91,0.0,0,2.2,0,,0
180.0,08:03,East,0,0,0,0,0,0.0,1,0.0,0,,0
180.0,08:03,West,1,1,0,0,0,0.0,1,0.0,0,,0
190.0,08:03,North,0,0,0,0,0,0.0,0,2.2,0,,0
190.0,08:03,South,0,0,0,0,20.01,0.0,0,2.2,0,,0
190.0,08:03,East,0,0,0,0,0,0.0,1,0.0,0,,0
190.0,08:03,West,0,0,0,0,0,0.0,1,0.0,0,,0
200.0,08:03,North,0,0,0,0,0,0.0,0,2.2,0,,0
200.0,08:03,South,0,0,0,0,12.1,0.0,0,2.2,0,,0
200.0,08:03,East,0,0,0,1,4.9,0.2039,0,2.2,0,,0
200.0,08:03,West,0,0,0,0,0,0.0,1,0.0,0,,0
