# run_started_utc: 2026-08-20T04:54:39.860157+00:00
# run_started_local: 2026-08-20T10:24:39.860157+05:30
# run_ended_utc: 2026-08-20T04:55:18.673671+00:00
# simulated_duration_s: 278.8
# rows_written: 108
# git_commit: 9520573
# git_tree: dirty
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-20T04:54:39.810211+00:00
# encryption_at_end: on
# encryption_toggled_during_run: no
# attacks_fired: false_data_injection
# demand_multiplier: 1
# density: 1x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag
10.0,08:00,North,0,0,0,0,10.0,0.0,0,2.2,0,,0
10.0,08:00,South,0,0,0,0,0,0.0,0,2.2,0,,0
10.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
10.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
20.0,08:00,North,0,0,0,0,20.02,0.0,0,2.2,0,,0
20.0,08:00,South,0,0,0,0,0,0.0,0,2.2,0,,0
20.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
20.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
30.0,08:00,North,0,0,0,0,20.02,0.0,0,2.2,0,,0
30.0,08:00,South,1,1,0,0,0,0.0,1,0.0,0,,0
30.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
30.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
40.0,08:00,North,0,0,0,0,20.01,0.0,0,2.2,0,,0
40.0,08:00,South,1,1,0,0,0,0.0,1,0.0,0,,0
40.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
40.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
50.0,08:00,North,0,0,0,0,16.0,0.0,0,2.2,0,,0
50.0,08:00,South,0,0,0,1,1.01,0.9901,0,2.2,0,,0
50.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0
50.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0
60.0,08:01,North,0,0,0,0,6.0,0.0,0,2.2,0,,0
60.0,08:01,South,0,0,0,1,11.02,0.0908,0,2.2,0,,0
60.0,08:01,East,1,1,0,0,0,0.0,1,0.002,0,,0
60.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
70.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
70.0,08:01,South,0,0,0,0,20.01,0.0,0,2.2,0,,0
70.0,08:01,East,1,1,0,0,0,0.0,1,0.0,0,,0
70.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
80.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
80.0,08:01,South,0,0,0,0,12.0,0.0,0,2.2,0,,0
80.0,08:01,East,0,0,0,1,5.0,0.2001,0,2.2,0,,0
80.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
90.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
90.0,08:01,South,0,0,0,0,2.01,0.0,0,2.2,0,,0
90.0,08:01,East,0,0,0,1,14.99,0.0667,0,2.2,0,,0
90.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
100.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
100.0,08:01,South,0,0,0,0,0,0.0,0,2.2,0,,0
100.0,08:01,East,0,0,0,0,18.04,0.0,0,2.2,0,,0
100.0,08:01,West,0,0,0,0,0,0.0,0,2.2,0,,0
110.0,08:01,North,0,0,0,0,0,0.0,0,2.2,0,,0
110.0,08:01,South,0,0,0,0,0,0.0,0,2.2,0,,0
110.0,08:01,East,0,0,0,0,8.04,0.0,0,2.2,0,,0
110.0,08:01,West,0,0,0,0,8.97,0.0,0,2.2,0,,0
120.0,08:02,North,0,0,0,0,0,0.0,0,2.2,0,,0
120.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
120.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
120.0,08:02,West,0,0,0,0,16.0,0.0,0,2.2,0,,0
130.0,08:02,North,0,0,0,0,9.96,0.0,0,2.2,0,,0
130.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
130.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
130.0,08:02,West,0,0,0,0,7.04,0.0,0,2.2,0,,0
140.0,08:02,North,0,0,0,0,19.96,0.0,0,2.2,0,,0
140.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
140.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
140.0,08:02,West,0,0,0,0,0,0.0,0,2.2,0,,0
150.0,08:02,North,0,0,0,0,20.01,0.0,0,2.2,0,,0
150.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
150.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
150.0,08:02,West,0,0,0,0,0,0.0,0,2.2,0,,0
160.0,08:02,North,0,0,0,0,20.01,0.0,0,2.2,0,,0
160.0,08:02,South,0,0,0,0,0,0.0,0,2.2,0,,0
160.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
160.0,08:02,West,0,0,0,0,0,0.0,0,2.2,0,,0
170.0,08:02,North,0,0,0,0,16.07,0.0,0,2.2,0,,0
170.0,08:02,South,0,0,0,0,0.94,0.0,0,2.2,0,,0
170.0,08:02,East,0,0,0,0,0,0.0,0,2.2,0,,0
170.0,08:02,West,0,0,0,0,0,0.0,0,2.2,0,,0
180.0,08:03,North,0,0,0,0,6.05,0.0,0,2.2,0,,0
180.0,08:03,South,0,0,0,0,10.95,0.0,0,2.2,0,,0
180.0,08:03,East,0,0,0,0,0,0.0,0,2.2,0,,0
180.0,08:03,West,0,0,0,0,0,0.0,0,2.2,0,,0
190.0,08:03,North,0,0,0,0,0,0.0,0,2.2,0,,0
190.0,08:03,South,0,0,0,0,20.01,0.0,0,2.2,0,,0
190.0,08:03,East,0,0,0,0,0,0.0,0,2.2,0,,0
190.0,08:03,West,0,0,0,0,0,0.0,0,2.2,0,,0
200.0,08:03,North,0,0,0,0,0,0.0,0,2.2,0,,0
200.0,08:03,South,0,0,0,0,12.08,0.0,0,2.2,0,,0
200.0,08:03,East,0,0,0,0,4.92,0.0,0,2.2,0,,0
200.0,08:03,West,0,0,0,0,0,0.0,0,2.2,0,,0
210.0,08:03,North,0,0,0,0,0,0.0,0,2.2,0,,0
210.0,08:03,South,0,0,0,0,2.08,0.0,0,2.2,0,,0
210.0,08:03,East,0,0,0,0,14.93,0.0,0,2.2,0,,0
210.0,08:03,West,0,0,0,0,0,0.0,0,2.2,0,,0
220.0,08:03,North,0,0,0,0,0,0.0,0,2.2,0,,0
220.0,08:03,South,1,1,0,0,0,0.0,0,2.2,0,,0
220.0,08:03,East,0,0,0,0,18.09,0.0,0,2.2,0,,0
220.0,08:03,West,0,0,0,0,0,0.0,0,2.2,0,,0
230.0,08:03,North,0,0,0,0,0,0.0,0,2.2,0,,0
230.0,08:03,South,1,1,0,0,0,0.0,1,0.0,0,,0
230.0,08:03,East,0,0,0,0,8.08,0.0,0,2.2,0,,0
230.0,08:03,West,0,0,0,0,8.91,0.0,0,2.2,0,,0
240.0,08:04,North,0,0,0,0,0,0.0,0,2.2,0,,0
240.0,08:04,South,0,0,0,0,0,0.0,1,0.0,0,,0
240.0,08:04,East,0,0,0,0,0,0.0,0,2.2,0,,0
240.0,08:04,West,0,0,0,0,16.01,0.0,0,2.2,0,,0
250.0,08:04,North,0,0,0,0,9.87,0.0,0,2.2,0,,0
250.0,08:04,South,0,0,0,0,0,0.0,1,0.0,0,,0
250.0,08:04,East,0,0,0,0,0,0.0,0,2.2,0,,0
250.0,08:04,West,0,0,0,0,7.12,0.0,0,2.2,0,,0
260.0,08:04,North,0,0,0,0,19.87,0.0,0,2.2,0,,0
260.0,08:04,South,0,0,0,0,0,0.0,1,0.0,0,,0
