# run_started_utc: 2026-08-20T05:22:06.154715+00:00
# run_started_local: 2026-08-20T10:52:06.154715+05:30
# run_ended_utc: 2026-08-20T05:23:06.013620+00:00
# simulated_duration_s: 255.5
# rows_written: 100
# git_commit: 8a25cc8
# git_tree: clean
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-20T05:22:06.106055+00:00
# encryption_at_end: on
# encryption_toggled_during_run: no
# attacks_fired: none
# demand_multiplier: 50
# density: 50x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag,readings_sent_window,readings_rejected_window,signals_fired_window
10.0,08:00,North,0,0,0,0,10.02,0.0,0,2.2,0,,0,1,0,
10.0,08:00,South,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
20.0,08:00,North,5,4,1,4,20.01,0.1999,0,2.2,0,,0,1,0,
20.0,08:00,South,1,1,0,0,0,0.0,1,0.0,0,,0,1,0,
20.0,08:00,East,1,1,0,0,0,0.0,1,0.012,0,,0,1,0,
20.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
30.0,08:00,North,6,5,1,5,20.0,0.25,0,2.2,0,,0,1,0,
30.0,08:00,South,2,2,0,0,0,0.0,2,0.005,0,,0,1,0,
30.0,08:00,East,2,2,0,0,0,0.0,2,0.0,0,,0,1,0,
30.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
40.0,08:00,North,6,5,2,4,20.01,0.2,0,2.2,0,,0,1,0,
40.0,08:00,South,3,3,0,0,0,0.0,2,0.636,0,,0,1,0,
40.0,08:00,East,2,2,0,0,0,0.0,3,0.0,0,,0,1,0,
40.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
50.0,08:00,North,8,7,2,5,15.99,0.3126,1,0.757,0,,0,1,0,
50.0,08:00,South,4,4,0,1,1.01,0.9934,2,0.706,0,,0,1,0,
50.0,08:00,East,2,2,0,0,0,0.0,3,0.55,0,,0,1,0,
50.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
60.0,08:01,North,7,6,3,2,5.99,0.3337,5,0.0,0,,0,1,0,
60.0,08:01,South,3,3,0,7,11.01,0.636,0,2.2,0,,0,1,0,
60.0,08:01,East,2,2,0,0,0,0.0,5,0.0,0,,0,1,0,
60.0,08:01,West,1,1,0,0,0,0.0,0,2.2,0,,0,1,0,
70.0,08:01,North,10,5,7,0,0,0.0,7,0.0,0,,0,1,0,
70.0,08:01,South,3,3,0,7,20.02,0.3497,0,2.2,0,,0,1,0,
70.0,08:01,East,1,1,0,0,0,0.0,5,0.0,0,,0,1,0,
70.0,08:01,West,1,1,0,0,0,0.0,1,0.0,0,,0,1,0,
80.0,08:01,North,9,2,10,0,0,0.0,7,0.0,0,,0,1,0,
80.0,08:01,South,2,2,0,2,12.01,0.1666,0,2.2,0,,0,1,0,
80.0,08:01,East,3,3,0,6,4.99,1.2036,0,1.82,0,,0,1,0,
80.0,08:01,West,0,0,0,0,0,0.0,1,0.0,0,,0,1,0,
90.0,08:01,North,6,0,13,0,0,0.0,7,0.0,0,,0,1,0,
90.0,08:01,South,2,1,1,1,2.01,0.4979,1,0.024,0,,0,1,0,
90.0,08:01,East,3,3,0,8,14.99,0.5337,0,2.2,0,,0,1,0,
90.0,08:01,West,1,1,0,0,0,0.0,2,0.0,0,,0,1,0,
100.0,08:01,North,7,0,17,0,0,0.0,7,0.0,0,,0,1,0,
100.0,08:01,South,4,3,1,0,0,0.0,3,0.0,0,,0,1,0,
100.0,08:01,East,2,2,0,3,18.03,0.1664,0,2.2,0,,0,1,0,
100.0,08:01,West,2,2,0,0,0,0.0,3,0.0,0,,0,1,0,
110.0,08:01,North,8,0,21,0,0,0.0,7,0.0,0,,0,1,0,
110.0,08:01,South,5,4,2,0,0,0.0,5,0.0,0,,0,1,0,
110.0,08:01,East,3,3,0,1,8.04,0.1244,2,0.0,0,,0,1,0,
110.0,08:01,West,2,2,0,4,8.97,0.4459,0,2.2,0,,0,1,0,
120.0,08:02,North,7,0,24,0,0,0.0,7,0.0,0,,0,1,0,
120.0,08:02,South,3,2,2,0,0,0.0,5,0.0,0,,0,1,0,
120.0,08:02,East,7,6,1,0,0,0.0,6,0.232,0,,0,1,0,
120.0,08:02,West,1,1,0,4,16.01,0.2499,0,2.2,0,,0,1,0,
130.0,08:02,North,4,0,25,7,9.95,0.7035,0,2.2,0,,0,1,0,
130.0,08:02,South,2,2,2,0,0,0.0,7,0.0,0,,0,1,0,
130.0,08:02,East,8,6,2,0,0,0.0,8,0.0,0,,0,1,0,
130.0,08:02,West,1,1,0,0,7.05,0.0,0,2.2,0,,0,1,0,
140.0,08:02,North,10,7,27,13,19.95,0.6517,0,2.2,0,,0,1,0,
140.0,08:02,South,3,2,3,0,0,0.0,7,0.0,0,,0,1,0,
140.0,08:02,East,3,1,3,0,0,0.0,8,0.0,0,,0,1,0,
140.0,08:02,West,1,1,0,0,0,0.0,1,0.0,0,,0,1,0,
150.0,08:02,North,11,9,27,9,20.01,0.4498,0,2.2,0,,0,1,0,
150.0,08:02,South,3,0,5,0,0,0.0,7,0.0,0,,0,1,0,
150.0,08:02,East,2,0,4,0,0,0.0,8,0.0,0,,0,1,0,
150.0,08:02,West,0,0,0,0,0,0.0,1,0.0,0,,0,1,0,
160.0,08:02,North,7,6,28,5,20.01,0.2498,0,2.2,0,,0,1,0,
160.0,08:02,South,5,0,8,0,0,0.0,7,0.0,0,,0,1,0,
160.0,08:02,East,1,0,4,0,0,0.0,8,0.0,0,,0,1,0,
160.0,08:02,West,0,0,0,0,0,0.0,1,0.0,0,,0,1,0,
170.0,08:02,North,13,10,30,6,16.06,0.3735,3,0.436,0,,0,1,0,
170.0,08:02,South,5,0,10,1,0.93,1.0714,3,0.531,0,,0,1,0,
170.0,08:02,East,3,0,7,0,0,0.0,8,0.0,0,,0,1,0,
170.0,08:02,West,1,1,0,0,0,0.0,2,0.014,0,,0,1,0,
180.0,08:03,North,9,7,30,4,6.05,0.6613,5,0.0,0,,0,1,0,
180.0,08:03,South,3,1,10,8,10.95,0.7309,0,2.2,0,,0,1,0,
180.0,08:03,East,4,0,8,0,0,0.0,8,0.0,0,,0,1,0,
180.0,08:03,West,1,1,0,0,0,0.0,2,0.0,0,,0,1,0,
190.0,08:03,North,4,3,31,0,0,0.0,7,0.0,0,,0,1,0,
190.0,08:03,South,2,2,10,8,20.0,0.3999,0,2.2,0,,0,1,0,
190.0,08:03,East,1,0,8,0,0,0.0,8,0.0,0,,0,1,0,
190.0,08:03,West,0,0,0,0,0,0.0,2,0.0,0,,0,1,0,
200.0,08:03,North,7,2,35,0,0,0.0,7,0.0,0,,0,1,0,
200.0,08:03,South,1,1,10,1,12.08,0.0828,0,2.2,0,,0,1,0,
200.0,08:03,East,2,0,10,6,4.91,1.222,0,1.65,0,,0,1,0,
200.0,08:03,West,0,0,0,0,0,0.0,2,0.0,0,,0,1,0,
210.0,08:03,North,10,0,41,0,0,0.0,7,0.0,0,,0,1,0,
210.0,08:03,South,2,2,10,0,2.07,0.0,1,1.101,0,,0,1,0,
210.0,08:03,East,3,1,10,9,14.92,0.6031,0,2.2,0,,0,1,0,
210.0,08:03,West,0,0,0,0,0,0.0,2,0.0,0,,0,1,0,
220.0,08:03,North,8,0,43,0,0,0.0,7,0.0,0,,0,1,0,
220.0,08:03,South,4,4,10,0,0,0.0,4,0.001,0,,0,1,0,
220.0,08:03,East,1,1,10,3,18.1,0.1658,0,2.2,0,,0,1,0,
220.0,08:03,West,0,0,0,0,0,0.0,2,0.0,0,,0,1,0,
230.0,08:03,North,10,0,51,0,0,0.0,7,0.0,0,,0,1,0,
230.0,08:03,South,4,4,10,0,0,0.0,6,0.0,0,,0,1,0,
230.0,08:03,East,3,3,10,0,8.09,0.0,3,0.001,0,,0,1,0,
230.0,08:03,West,2,2,0,4,8.91,0.4491,0,2.2,0,,0,1,0,
240.0,08:04,North,16,0,59,0,0,0.0,7,0.0,0,,0,1,0,
240.0,08:04,South,2,2,10,0,0,0.0,6,0.0,0,,0,1,0,
240.0,08:04,East,4,4,10,0,0,0.0,4,0.0,0,,0,1,0,
240.0,08:04,West,2,2,0,4,16.01,0.2498,0,2.2,0,,0,1,0,
250.0,08:04,North,13,3,61,9,9.88,0.9106,0,2.2,0,,0,1,0,
250.0,08:04,South,1,1,10,0,0,0.0,6,0.124,0,,0,1,0,
250.0,08:04,East,2,2,10,0,0,0.0,4,0.44,0,,0,1,0,
