# run_started_utc: 2026-08-20T05:23:30.472276+00:00
# run_started_local: 2026-08-20T10:53:30.472276+05:30
# run_ended_utc: 2026-08-20T05:24:29.935880+00:00
# simulated_duration_s: 271.7
# rows_written: 108
# git_commit: 8a25cc8
# git_tree: dirty
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-20T05:23:30.406420+00:00
# encryption_at_end: off
# encryption_toggled_during_run: yes
# attacks_fired: false_data_injection
# demand_multiplier: 50
# density: 50x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag,readings_sent_window,readings_rejected_window,signals_fired_window
10.0,08:00,North,0,0,0,0,10.01,0.0,0,2.2,0,,0,1,0,
10.0,08:00,South,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
20.0,08:00,North,5,5,0,3,20.01,0.1499,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
20.0,08:00,South,1,1,0,0,0,0.0,0,2.2,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
20.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
20.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
30.0,08:00,North,12,10,2,9,20.01,0.4499,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
30.0,08:00,South,2,2,0,0,0,0.0,2,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
30.0,08:00,East,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
30.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
40.0,08:00,North,10,8,2,10,20.02,0.4996,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
40.0,08:00,South,4,4,0,0,0,0.0,5,0.005,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
40.0,08:00,East,3,3,0,0,0,0.0,3,0.002,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
40.0,08:00,West,1,1,0,0,0,0.0,0,2.2,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
50.0,08:00,North,12,10,4,8,15.98,0.5005,2,0.754,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
50.0,08:00,South,3,3,0,1,1.01,0.9885,1,0.87,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
50.0,08:00,East,4,4,0,0,0,0.0,4,0.004,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
50.0,08:00,West,2,2,0,0,0,0.0,2,0.007,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
60.0,08:01,North,14,11,5,4,5.98,0.6689,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
60.0,08:01,South,3,3,0,8,11.02,0.7261,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
60.0,08:01,East,2,2,0,0,0,0.0,5,0.035,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
60.0,08:01,West,1,1,0,0,0,0.0,2,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
70.0,08:01,North,8,4,8,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
70.0,08:01,South,4,4,0,8,20.01,0.3998,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
70.0,08:01,East,2,2,0,0,0,0.0,6,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
70.0,08:01,West,1,1,0,0,0,0.0,3,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
80.0,08:01,North,5,0,10,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
80.0,08:01,South,2,2,0,1,12.01,0.0833,1,0.0,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
80.0,08:01,East,1,1,0,6,5.0,1.2004,0,2.2,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
80.0,08:01,West,5,4,1,0,0,0.0,6,0.056,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
90.0,08:01,North,6,0,14,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
90.0,08:01,South,1,1,0,0,2.0,0.0,1,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
90.0,08:01,East,0,0,0,6,14.99,0.4003,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
90.0,08:01,West,6,5,1,0,0,0.0,8,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
100.0,08:01,North,8,0,18,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
100.0,08:01,South,0,0,0,0,0,0.0,1,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
100.0,08:01,East,2,2,0,1,18.02,0.0555,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
100.0,08:01,West,2,2,1,0,0,0.0,8,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
110.0,08:01,North,6,0,20,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
110.0,08:01,South,1,1,0,0,0,0.0,1,1.1,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
110.0,08:01,East,4,4,0,1,8.02,0.1248,3,0.01,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
110.0,08:01,West,1,0,2,8,8.98,0.8914,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
120.0,08:02,North,8,0,26,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
120.0,08:02,South,7,5,2,0,0,0.0,6,0.054,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
120.0,08:02,East,3,3,0,0,0,0.0,4,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
120.0,08:02,West,2,1,2,8,16.0,0.5,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
130.0,08:02,North,11,3,28,8,9.97,0.8027,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
130.0,08:02,South,9,5,4,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
130.0,08:02,East,5,4,1,0,0,0.0,7,0.01,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
130.0,08:02,West,1,1,2,0,7.04,0.0,1,0.0,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
140.0,08:02,North,8,5,29,12,19.98,0.6008,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
140.0,08:02,South,5,1,6,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
140.0,08:02,East,4,3,1,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
140.0,08:02,West,2,2,2,0,0,0.0,2,0.733,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
150.0,08:02,North,8,5,31,7,20.02,0.3497,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
150.0,08:02,South,5,0,9,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
150.0,08:02,East,1,1,1,0,0,0.0,8,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
150.0,08:02,West,3,3,2,0,0,0.0,4,0.036,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
160.0,08:02,North,7,5,31,4,20.0,0.2,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
160.0,08:02,South,5,0,11,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
160.0,08:02,East,3,1,3,0,0,0.0,8,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
160.0,08:02,West,1,1,2,0,0,0.0,4,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
170.0,08:02,North,8,6,33,3,16.05,0.187,0,1.787,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
170.0,08:02,South,5,0,14,1,0.95,1.0545,3,0.544,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
170.0,08:02,East,4,0,5,0,0,0.0,8,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
170.0,08:02,West,2,2,2,0,0,0.0,5,0.367,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
180.0,08:03,North,12,8,35,2,6.05,0.3305,7,0.006,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
180.0,08:03,South,6,3,14,10,10.95,0.9137,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
180.0,08:03,East,6,0,9,0,0,0.0,8,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
180.0,08:03,West,3,3,2,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
190.0,08:03,North,10,4,39,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
190.0,08:03,South,6,5,15,11,20.02,0.5496,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
190.0,08:03,East,4,0,9,0,0,0.0,8,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
190.0,08:03,West,3,2,3,0,0,0.0,8,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
200.0,08:03,North,10,0,45,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
200.0,08:03,South,4,3,15,2,12.06,0.1659,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
200.0,08:03,East,0,0,9,6,4.93,1.2175,0,1.998,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
200.0,08:03,West,2,1,3,0,0,0.0,8,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
210.0,08:03,North,12,0,51,0,0,0.0,7,0.0,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
210.0,08:03,South,2,2,15,0,2.07,0.0,1,1.1,0,,0,1,0,S3_DIVERGENCE;S4_SIMULTANEITY
210.0,08:03,East,1,1,9,8,14.93,0.536,0,2.2,0,,0,1,0,S2_IMPLAUSIBLE;S3_DIVERGENCE;S4_SIMULTANEITY
