# run_started_utc: 2026-08-20T05:24:43.089514+00:00
# run_started_local: 2026-08-20T10:54:43.089514+05:30
# run_ended_utc: 2026-08-20T05:25:35.869311+00:00
# simulated_duration_s: 254.3
# rows_written: 100
# git_commit: 8a25cc8
# git_tree: dirty
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-20T05:24:43.041570+00:00
# encryption_at_end: on
# encryption_toggled_during_run: no
# attacks_fired: false_data_injection
# demand_multiplier: 50
# density: 50x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag,readings_sent_window,readings_rejected_window,signals_fired_window
10.0,08:00,North,0,0,0,0,10.01,0.0,0,2.2,0,,0,1,0,
10.0,08:00,South,1,1,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,East,1,1,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
20.0,08:00,North,1,1,0,1,20.0,0.05,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
20.0,08:00,South,2,2,0,0,0,0.0,2,0.001,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
20.0,08:00,East,3,3,0,0,0,0.0,3,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
20.0,08:00,West,1,1,0,0,0,0.0,1,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
30.0,08:00,North,3,3,0,3,20.01,0.1499,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
30.0,08:00,South,3,3,0,0,0,0.0,4,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
30.0,08:00,East,4,4,0,0,0,0.0,5,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
30.0,08:00,West,1,1,0,0,0,0.0,1,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
40.0,08:00,North,5,5,0,4,20.0,0.2,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
40.0,08:00,South,4,4,0,0,0,0.0,6,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
