date,start_hour,phase_index,road,green_seconds,amber_seconds
2017-07-01,0,0,North,46,3
2017-07-01,0,1,South,23,3
2017-07-01,0,2,East,23,3
2017-07-01,0,3,West,16,3
2017-07-01,0,4,North,46,3
2017-07-01,0,5,South,23,3
2017-07-01,0,6,East,23,3
2017-07-01,0,7,West,16,3
2017-07-01,0,8,North,46,3
2017-07-01,0,9,South,23,3
2017-07-01,0,10,East,23,3
2017-07-01,0,11,West,16,3
2017-07-01,0,12,North,46,3
2017-07-01,0,13,South,23,3
2017-07-01,0,14,East,23,3
2017-07-01,0,15,West,16,3
2017-07-01,0,16,North,46,3
2017-07-01,0,17,South,23,3
2017-07-01,0,18,East,23,3
2017-07-01,0,19,West,16,3
2017-07-01,0,20,North,46,3
2017-07-01,0,21,South,23,3
2017-07-01,0,22,East,23,3
2017-07-01,0,23,West,16,3
2017-07-01,0,24,North,46,3
2017-07-01,0,25,South,23,3
2017-07-01,0,26,East,23,3
2017-07-01,0,27,West,16,3
2017-07-01,0,28,North,46,3
2017-07-01,0,29,South,23,3
2017-07-01,0,30,East,23,3
2017-07-01,0,31,West,16,3
2017-07-01,0,32,North,46,3
2017-07-01,0,33,South,23,3
2017-07-01,0,34,East,23,3
2017-07-01,0,35,West,16,3
2017-07-01,0,36,North,46,3
2017-07-01,0,37,South,23,3
2017-07-01,0,38,East,23,3
2017-07-01,0,39,West,16,3
2017-07-01,0,40,North,46,3
2017-07-01,0,41,South,23,3
2017-07-01,0,42,East,23,3
2017-07-01,0,43,West,16,3
2017-07-01,0,44,North,46,3
2017-07-01,0,45,South,23,3
2017-07-01,0,46,East,23,3
2017-07-01,0,47,West,16,3
2017-07-01,0,48,North,46,3
2017-07-01,0,49,South,23,3
2017-07-01,0,50,East,23,3
2017-07-01,0,51,West,16,3
2017-07-01,0,52,North,46,3
2017-07-01,0,53,South,23,3
2017-07-01,0,54,East,23,3
2017-07-01,0,55,West,16,3
2017-07-01,0,56,North,46,3
2017-07-01,0,57,South,23,3
2017-07-01,0,58,East,23,3
2017-07-01,0,59,West,16,3
2017-07-01,0,60,North,46,3
2017-07-01,0,61,South,23,3
2017-07-01,0,62,East,23,3
2017-07-01,0,63,West,16,3
2017-07-01,0,64,North,46,3
2017-07-01,0,65,South,23,3
2017-07-01,0,66,East,23,3
2017-07-01,0,67,West,16,3
2017-07-01,0,68,North,46,3
2017-07-01,0,69,South,23,3
2017-07-01,0,70,East,23,3
2017-07-01,0,71,West,16,3
2017-07-01,0,72,North,46,3
2017-07-01,0,73,South,23,3
2017-07-01,0,74,East,23,3
2017-07-01,0,75,West,16,3
2017-07-01,0,76,North,46,3
2017-07-01,0,77,South,23,3
2017-07-01,0,78,East,23,3
2017-07-01,0,79,West,16,3
2017-07-01,0,80,North,46,3
2017-07-01,0,81,South,23,3
2017-07-01,0,82,East,23,3
2017-07-01,0,83,West,16,3
2017-07-01,0,84,North,46,3
2017-07-01,0,85,South,23,3
2017-07-01,0,86,East,23,3
2017-07-01,0,87,West,16,3
2017-07-01,0,88,North,46,3
2017-07-01,0,89,South,23,3
2017-07-01,0,90,East,23,3
2017-07-01,0,91,West,16,3
2017-07-01,0,92,North,46,3
2017-07-01,0,93,South,23,3
2017-07-01,0,94,East,23,3
2017-07-01,0,95,West,16,3
2017-07-01,0,96,North,46,3
2017-07-01,0,97,South,23,3
2017-07-01,0,98,East,23,3
2017-07-01,0,99,West,16,3
2017-07-01,0,100,North,46,3
2017-07-01,0,101,South,23,3
2017-07-01,0,102,East,23,3
2017-07-01,0,103,West,16,3
2017-07-01,0,104,North,46,3
2017-07-01,0,105,South,23,3
2017-07-01,0,106,East,23,3
2017-07-01,0,107,West,16,3
2017-07-01,0,108,North,46,3
2017-07-01,0,109,South,23,3
2017-07-01,0,110,East,23,3
2017-07-01,0,111,West,16,3
2017-07-01,0,112,North,46,3
2017-07-01,0,113,South,23,3
2017-07-01,0,114,East,23,3
2017-07-01,0,115,West,16,3
2017-07-01,0,116,North,46,3
2017-07-01,0,117,South,23,3
2017-07-01,0,118,East,23,3
2017-07-01,0,119,West,16,3
2017-07-01,1,120,North,48,3
2017-07-01,1,121,South,25,3
2017-07-01,1,122,East,19,3
2017-07-01,1,123,West,16,3
2017-07-01,1,124,North,48,3
2017-07-01,1,125,South,25,3
2017-07-01,1,126,East,19,3
2017-07-01,1,127,West,16,3
2017-07-01,1,128,North,48,3
2017-07-01,1,129,South,25,3
2017-07-01,1,130,East,19,3
2017-07-01,1,131,West,16,3
2017-07-01,1,132,North,48,3
2017-07-01,1,133,South,25,3
2017-07-01,1,134,East,19,3
2017-07-01,1,135,West,16,3
2017-07-01,1,136,North,48,3
2017-07-01,1,137,South,25,3
2017-07-01,1,138,East,19,3
2017-07-01,1,139,West,16,3
2017-07-01,1,140,North,48,3
2017-07-01,1,141,South,25,3
2017-07-01,1,142,East,19,3
2017-07-01,1,143,West,16,3
2017-07-01,1,144,North,48,3
2017-07-01,1,145,South,25,3
2017-07-01,1,146,East,19,3
2017-07-01,1,147,West,16,3
2017-07-01,1,148,North,48,3
2017-07-01,1,149,South,25,3
2017-07-01,1,150,East,19,3
2017-07-01,1,151,West,16,3
2017-07-01,1,152,North,48,3
2017-07-01,1,153,South,25,3
2017-07-01,1,154,East,19,3
2017-07-01,1,155,West,16,3
2017-07-01,1,156,North,48,3
2017-07-01,1,157,South,25,3
2017-07-01,1,158,East,19,3
2017-07-01,1,159,West,16,3
2017-07-01,1,160,North,48,3
2017-07-01,1,161,South,25,3
2017-07-01,1,162,East,19,3
2017-07-01,1,163,West,16,3
2017-07-01,1,164,North,48,3
2017-07-01,1,165,South,25,3
2017-07-01,1,166,East,19,3
2017-07-01,1,167,West,16,3
2017-07-01,1,168,North,48,3
2017-07-01,1,169,South,25,3
2017-07-01,1,170,East,19,3
2017-07-01,1,171,West,16,3
2017-07-01,1,172,North,48,3
2017-07-01,1,173,South,25,3
2017-07-01,1,174,East,19,3
2017-07-01,1,175,West,16,3
2017-07-01,1,176,North,48,3
2017-07-01,1,177,South,25,3
2017-07-01,1,178,East,19,3
2017-07-01,1,179,West,16,3
2017-07-01,1,180,North,48,3
2017-07-01,1,181,South,25,3
2017-07-01,1,182,East,19,3
2017-07-01,1,183,West,16,3
2017-07-01,1,184,North,48,3
2017-07-01,1,185,South,25,3
2017-07-01,1,186,East,19,3
2017-07-01,1,187,West,16,3
2017-07-01,1,188,North,48,3
2017-07-01,1,189,South,25,3
2017-07-01,1,190,East,19,3
2017-07-01,1,191,West,16,3
2017-07-01,1,192,North,48,3
2017-07-01,1,193,South,25,3
2017-07-01,1,194,East,19,3
