date,start_hour,phase_index,road,green_seconds,amber_seconds
2026-06-15,7,0,North,51,3
2026-06-15,7,1,South,18,3
2026-06-15,7,2,East,13,3
2026-06-15,7,3,West,12,3
2026-06-15,7,4,North,51,3
2026-06-15,7,5,South,18,3
2026-06-15,7,6,East,13,3
2026-06-15,7,7,West,12,3
2026-06-15,7,8,North,51,3
2026-06-15,7,9,South,18,3
2026-06-15,7,10,East,13,3
2026-06-15,7,11,West,12,3
2026-06-15,7,12,North,51,3
2026-06-15,7,13,South,18,3
2026-06-15,7,14,East,13,3
2026-06-15,7,15,West,12,3
2026-06-15,7,16,North,51,3
2026-06-15,7,17,South,18,3
2026-06-15,7,18,East,13,3
2026-06-15,7,19,West,12,3
2026-06-15,7,20,North,51,3
2026-06-15,7,21,South,18,3
2026-06-15,7,22,East,13,3
2026-06-15,7,23,West,12,3
2026-06-15,7,24,North,51,3
2026-06-15,7,25,South,18,3
2026-06-15,7,26,East,13,3
2026-06-15,7,27,West,12,3
2026-06-15,7,28,North,51,3
2026-06-15,7,29,South,18,3
2026-06-15,7,30,East,13,3
2026-06-15,7,31,West,12,3
2026-06-15,7,32,North,51,3
2026-06-15,7,33,South,18,3
2026-06-15,7,34,East,13,3
2026-06-15,7,35,West,12,3
2026-06-15,7,36,North,51,3
2026-06-15,7,37,South,18,3
2026-06-15,7,38,East,13,3
2026-06-15,7,39,West,12,3
2026-06-15,7,40,North,51,3
2026-06-15,7,41,South,18,3
2026-06-15,7,42,East,13,3
2026-06-15,7,43,West,12,3
2026-06-15,7,44,North,51,3
2026-06-15,7,45,South,18,3
2026-06-15,7,46,East,13,3
2026-06-15,7,47,West,12,3
2026-06-15,7,48,North,51,3
2026-06-15,7,49,South,18,3
2026-06-15,7,50,East,13,3
2026-06-15,7,51,West,12,3
2026-06-15,7,52,North,51,3
2026-06-15,7,53,South,18,3
2026-06-15,7,54,East,13,3
2026-06-15,7,55,West,12,3
2026-06-15,7,56,North,51,3
2026-06-15,7,57,South,18,3
2026-06-15,7,58,East,13,3
2026-06-15,7,59,West,12,3
2026-06-15,7,60,North,51,3
2026-06-15,7,61,South,18,3
2026-06-15,7,62,East,13,3
2026-06-15,7,63,West,12,3
2026-06-15,7,64,North,51,3
2026-06-15,7,65,South,18,3
2026-06-15,7,66,East,13,3
2026-06-15,7,67,West,12,3
2026-06-15,7,68,North,51,3
2026-06-15,7,69,South,18,3
2026-06-15,7,70,East,13,3
2026-06-15,7,71,West,12,3
2026-06-15,7,72,North,51,3
2026-06-15,7,73,South,18,3
2026-06-15,7,74,East,13,3
2026-06-15,7,75,West,12,3
2026-06-15,7,76,North,51,3
2026-06-15,7,77,South,18,3
2026-06-15,7,78,East,13,3
2026-06-15,7,79,West,12,3
2026-06-15,7,80,North,51,3
2026-06-15,7,81,South,18,3
2026-06-15,7,82,East,13,3
2026-06-15,7,83,West,12,3
2026-06-15,7,84,North,51,3
2026-06-15,7,85,South,18,3
2026-06-15,7,86,East,13,3
2026-06-15,7,87,West,12,3
2026-06-15,7,88,North,51,3
2026-06-15,7,89,South,18,3
2026-06-15,7,90,East,13,3
2026-06-15,7,91,West,12,3
2026-06-15,7,92,North,51,3
2026-06-15,7,93,South,18,3
2026-06-15,7,94,East,13,3
2026-06-15,7,95,West,12,3
2026-06-15,7,96,North,51,3
2026-06-15,7,97,South,18,3
2026-06-15,7,98,East,13,3
2026-06-15,7,99,West,12,3
2026-06-15,7,100,North,51,3
2026-06-15,7,101,South,18,3
2026-06-15,7,102,East,13,3
2026-06-15,7,103,West,12,3
2026-06-15,7,104,North,51,3
2026-06-15,7,105,South,18,3
2026-06-15,7,106,East,13,3
2026-06-15,7,107,West,12,3
2026-06-15,7,108,North,51,3
2026-06-15,7,109,South,18,3
2026-06-15,7,110,East,13,3
2026-06-15,7,111,West,12,3
2026-06-15,7,112,North,51,3
2026-06-15,7,113,South,18,3
2026-06-15,7,114,East,13,3
2026-06-15,7,115,West,12,3
2026-06-15,7,116,North,51,3
2026-06-15,7,117,South,18,3
2026-06-15,7,118,East,13,3
2026-06-15,7,119,West,12,3
2026-06-15,7,120,North,51,3
2026-06-15,7,121,South,18,3
2026-06-15,7,122,East,13,3
2026-06-15,7,123,West,12,3
2026-06-15,7,124,North,51,3
2026-06-15,7,125,South,18,3
2026-06-15,7,126,East,13,3
2026-06-15,7,127,West,12,3
2026-06-15,7,128,North,51,3
2026-06-15,7,129,South,18,3
2026-06-15,7,130,East,13,3
2026-06-15,7,131,West,12,3
2026-06-15,7,132,North,51,3
2026-06-15,7,133,South,18,3
2026-06-15,7,134,East,24,3
2026-06-15,8,135,West,12,3
2026-06-15,8,136,North,51,3
2026-06-15,8,137,South,17,3
2026-06-15,8,138,East,14,3
2026-06-15,8,139,West,12,3
